pincode,circle,region,division,offices
416205,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kale S.O (Kolhapur), Bajar Bhogaon B.O, Dhundwade B.O, Karanjphen B.O, Kasba Thane B.O, Kate Bhogaon B.O, Khupire B.O, Kisrul B.O, Kolik B.O, Majgaon B.O, Malapude B.O, Mhasurli B.O, Padal B.O, Panutre B.O, Parkhandale B.O, Pat Panhala B.O, Pisatri B.O, Pohale T/F Borgaon B.O, Punal B.O, Sule B.O, Vetawade B.O, Yavluj B.O"
416206,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Gaganbavada S.O, Asandoli B.O, Aslaj B.O, Borbet B.O, Gariwade B.O, Katali B.O, Mandukali B.O, Salvan B.O, Sangashi B.O, Shenawade B.O, Tisangi B.O"
416207,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ispurli S.O, Chuye B.O, Dindnerli B.O, Kavane B.O, Mhalunge B.O, Nandgaon B.O, Nigave Khalasa B.O, DARYACHE VADGAON"
416208,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Bidri S.O, Arjunwada B.O, Baradwadi B.O, Boravade B.O, Mudhal B.O, Talashi B.O, Thikpurli B.O, Titave B.O, Turambe B.O, Undarwadi B.O"
416209,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Gargoti S.O, Barve B.O, Gangapur B.O, Kalnakwadi B.O, Karadwadi B.O, Koor B.O, Madilage BK B.O, Manawale B.O, Mangnoor B.O, Nadhavade B.O, Pal B.O, Palshivane B.O, Phanaswadi B.O, Pimpalgaon B.O, Shengaon B.O, Sonarwadi B.O, Tikkewadi B.O, Waghapur B.O"
416210,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kadgaon Gargoti S.O, Adoli B.O, Anap Khurd B.O, Kondoshi B.O, Mathgaon B.O, Mhasrang B.O, Navale B.O, Patgaon B.O, Sheloli B.O, Shivdav B.O, Tambale B.O, Tambyachiwadi B.O, Vengrul B.O, Vesarde B.O"
416211,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Parite S.O, Awali BK B.O, Awali KH B.O, Dhamod B.O, Durgamanwad B.O, Gudal B.O, Kaulav B.O, Kodavade B.O, Piral B.O, Pungaon B.O, Rashivade B.O, Shirgaon B.O, Shirse B.O, Tarale B.O, Tarsambale B.O"
416212,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Radhanagari S.O, Akanur B.O, Dajipur B.O, Kasarwada B.O, Nartavade B.O, Padali B.O, Phejiwade B.O, Rhe Works B.O, Sarawade B.O, Savarde Patankar B.O, Shiroli (Sonyachi) B.O, Solankur B.O"
416213,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Bambavada S.O, Awali B.O, Bhadale B.O, Borivade B.O, Borpadale B.O, Charan B.O, Dewale B.O, Gogave B.O, Parkhandale B.O, Pishavi B.O, Salshi B.O, Save B.O, Shittur Turf Malkapur B.O, Supatre B.O, Thergaon B.O"
416214,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Sarud S.O, Akurle B.O, Bhedasgaon B.O, Kapshi B.O, Kotoli (Warna) B.O, Rethare B.O, Shimpe B.O, Shirale T/Ff Warun B.O, Shittur T/F Warun B.O, Sondoli B.O, Ukhalu B.O, Virale B.O"
416215,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Shahuwadi S.O, Ambarde B.O, Arul B.O, Molawade B.O, Panundre B.O, Shirala B.O, Tekoli B.O, Ukoli B.O"
416216,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Kenavade B.O, Lingnur Dumala B.O, Mhakave B.O, Mouje Sangaon B.O, Pimpalgaon KH B.O, Sulkud B.O, Vandur B.O, Vhannur B.O, Kagal S.O, Gorambe B.O, Karnur B.O, Kasaba Sangaon B.O"
416218,Maharashtra circle,Goa-Panaji Region,Kolhapur Division,"Baleghol B.O, Belewadi Kalamma B.O, Bolavi B.O, Hasur Khurd B.O, Kardyal B.O, Kasari B.O, Madyal B.O, Mugali B.O, Tamnakwada B.O, Vadgaon B.O, Kapshi S.O"
416219,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Murgud S.O, Karanjivane B.O, Malage BK B.O, Mouje Haladi B.O, Nidhori B.O, Savarde BK B.O, Sonali B.O, Yamage B.O"
416220,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Uttur S.O, Aralgundi B.O, Ardal B.O, Bahirewadi B.O, Chimane B.O, Dhamane B.O, Halewadi B.O, Honyali B.O, Mahagond B.O, Masewadi B.O, Mumewadi B.O, Shipur T/F Ajara B.O, Zulpewadi B.O"
416221,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Walwa Bk S.O, Bachani B.O, Belawale BK B.O, Khebavade B.O, Sake B.O, Vhanali B.O, Walwa KH B.O"
416223,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Mhasve S.O, Bhativade B.O, Hedawade B.O, Kolwan B.O, Minche BK B.O, Minche KH B.O, Nilpan B.O"
416229,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Ambewadi S.O (Kolhapur), Bhuye B.O, Chikhali B.O, Kerle B.O, Kerli B.O, Nigave Dumala B.O, Pohale Turf Alate B.O, Porle Turf Thane B.O, Vadange B.O, Varange Padali B.O, Wadi Ratnagiri B.O"
416230,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Kotoli S.O, Bandiwade B.O, Borgaon B.O, Ghotavade B.O, Kaneri (Panhala) B.O, Karanjphen B.O, Kololi B.O, Nandgaon B.O, Tirpan B.O, Waghave B.O"
416231,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Dudhganganagar S.O, Panori B.O"
416232,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Sidhnerli S.O, Bamani B.O, Ekondi B.O, Shankarwadi B.O, Shendur B.O"
416234,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"MIDC Gokul Shirgaon S.O, Kaneri B.O, Nerli B.O"
416235,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Sadashivnagar S.O, Anur B.O, Arjuni B.O, Banage B.O, Bastavade B.O, Chikhali B.O, Khadakewada B.O, Koulage B.O, Pimpalgaon BK B.O, Sonage B.O, Surupali B.O, Hamidwada B.O"
416236,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"5 Star MIDC Kagal S.O, Talandage B.O, Yalgud B.O"
416301,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Ashte S.O, Bavachi B.O, Gotkhindi B.O, Karandwadi B.O, Mardwadi B.O, Mirajwadi B.O, Pokharni B.O, Tung B.O"
416302,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Bagani S.O, Bhadkimbe B.O, Dhavali B.O, Koregaon B.O, Nagaon B.O, Shigaon B.O"
416303,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Bhilavadi S.O, Audumbar B.O, Bhilwadi R.S. B.O, Tavadarwadi B.O"
416304,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Bisur B.O, Kavaji Khotwadi B.O, Budhgaon S.O"
416305,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Digraj Kasaba Agri School B.O, Digraj Kasaba S.O"
416306,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Kanchanpur B.O, Kumatha B.O, Upalavi B.O, Kavalapur S.O"
416307,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,Kavathe Ekand S.O
416308,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Amnapur BO, Burli B.O, Dudhondi B.O, Nagarale B.O, Punadi T/F Walwa B.O, Kirloskarwadi S.O, Ramanandnagar B.O"
416309,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Balavadi(Bhalavani) B.O, Ghogaon B.O, Kundal S.O (Sangli)"
416310,Maharashtra circle,Goa-Panaji Region,SANGLI DIVISION,"Andhali B.O, Bambavade B.O, Morale B.O, Rajapur B.O, Palus S.O, Sawantpur B.O"
