pincode,circle,region,division,offices
416601,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Phondaghat S.O, Belnekhurd B.O, Damre B.O, Ghonsari B.O, Harkul Khurd B.O, Karul B.O, Kurli B.O, Lore i B.O, Lore II B.O, Tondavali B.O, Wagheri B.O"
416602,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kankavli S.O, Asrondi B.O, Aynal B.O, Bharni B.O, Bidwadi B.O, Gopuri B.O, Halval B.O, Harkul Budruk B.O, Humbrat B.O, Janavali B.O, Karanje B.O, Kasaral B.O, Kasavan B.O, Main B.O, Nagve B.O, Nandgaon B.O, Otav B.O, Sakedi B.O, Savdav B.O, Shirvande B.O, Tarandale B.O, Kalmath B.O, Varavade B.O"
416603,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kasal S.O, Bordave B.O, Hedul B.O, Hiwale B.O, Khotale B.O, Osargaon B.O, Ovaliye B.O, Waingavde B.O"
416604,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Katta S.O, Chafekhol B.O, Golvan B.O, Kunkavale B.O, Mogarne B.O, Nandos B.O, Pendur B.O, Tiravade B.O, Varad B.O"
416605,Maharashtra circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Tarkarli B.O, Kumbharmath B.O, Devli B.O, Chouke S.O, Devbag B.O, Wairy Bhutnath B.O, Amberi B.O, Dhamapur B.O, Kalse B.O, Nandrukh B.O, Salel B.O"
416606,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Malvan H.O
416608,Maharashtra circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kandalgaon B.O, Khaida B.O, Bilwas B.o, Masura S.O, Malgaon B.O, Bandivade B.O, Deulwada B.O, Malond B.O, Masde B.O, Poip B.O, Veral B.O"
416609,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Sangve S.O, Bhirvande B.O, Dariste B.O, Digavle B.O, Kumbhavade B.O, Nardave B.O, Natal B.O"
416610,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Shirgaon S.O, Asalda B.O, Hadpid B.O, Koloshi B.O, Kuvale B.O, Salshi B.O"
416611,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Talebazar S.O, Are B.O, Gadhitamhane B.O, Khudi B.O, Kinjavade B.O, Kotkamte B.O, Talavade B.O, Torsole B.O, Valivande B.O"
416612,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Jamsande S.O, Dabhole B.O, Ilye B.O, Katta B.O, Kunkeshwar B.O, Mithmumbari B.O, Tembavli B.O"
416613,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Devgad S.O, Baparde B.O, Taramumbari B.O, Waniwade B.O"
416614,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Achara S.O, Adavli B.O, Chindar B.O, Chindar Bazar B.O, Gaudwadi B.O, Hirlewadi B.O, Palsamb B.O, Pirawadi B.O, Trimbak B.O, Waingani B.O"
416615,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Mithbav S.O, Tambaldeg B.O"
416616,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Ramgad S.O, Budhavale B.O, Gothane B.O, Kirlos B.O, Math Budruk B.O, Nirom B.O, Rathivade B.O, Sandave B.O, Shravan B.O"
416620,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kalsuli S.O, Shirval B.O, Shivdav B.O"
416623,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Mond S.O
416626,Maharashtra circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kolamb B.O, Revandi B.O, Sarjekot Miryabanda B.O, Hadi S.O, Tondavali B.O"
416628,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Ambrad S.O, Kunde B.O, Pokharan B.O"
416630,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Naringre S.O, Dahibav B.O, Hindale B.O, Munge B.O, Poyare B.O"
416632,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Jambhavade S.O, Bharni B.O, Ghotage B.O, Kupavade B.O, Sonavade B.O"
416701,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Lanja S.O, Bapere B.O, Bhambed B.O, Golawashi B.O, Govil B.O, Hardakhale B.O, Indavati B.O, Isavali B.O, Javade B.O, Kelambe B.O, Khavadi B.O, Khorninko B.O, Kondye B.O, Korle B.O, Kuve B.O, Majal B.O, Palu B.O, Prabhanvalli B.O, Roon B.O, Satavali B.O, Vadgaon B.O, Vangule B.O, Veravali Budruk B.O, Veravali Khurd B.O, Zapade B.O"
416702,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Rajapur S.O (Ratnagiri), Angale B.O, Ansure B.O, Bhalavali B.O, Burambe Wadi B.O, Devache Gothane B.O, Dhaulwali B.O, Dhopeshwar B.O, Dongar B.O, Donivade B.O, Goval B.O, Hasol Tarf Saundal B.O, Juwathi B.O, Kaneri B.O, Kelavali B.O, Kodavali B.O, Kondye B.O, Kotapur B.O, Kumbhavade B.O, Kuveshi B.O, Madban B.O, Mithgavane B.O, Moroshi B.O, Mosam B.O, Nanar B.O, Niveli B.O, Padave B.O, Pangare B.O, Panhale Tarf Saundal B.O, Prindavan B.O, Sakhar B.O, Sasale B.O, Shivane Khurd B.O, Solgaon B.O, Talgaon B.O, Taral B.O, Upale B.O, Vilye B.O, Walye B.O"
416703,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kharepatan S.O, Korla B.O, Kunkavan B.O, Kurangavane B.O, Nadgive B.O, Nanivade B.O, Tithavli B.O"
416704,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Pachal S.O (Ratnagiri), Ajiwali B.O, Bagave Wadi B.O, Haral B.O, Hatade B.O, Jawalethar B.O, Kajirda B.O, Karak B.O, Karavali B.O, Kolamb B.O, Kolwan Khadi B.O, Miland B.O, Moor B.O, Oshivale B.O, Parule B.O, Raypatan B.O, Saundal B.O, Savdav B.O, Soliwade B.O, Talavade B.O, Tamhane B.O, Yelvan B.O, Yerdav B.O"
416705,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Oni S.O, Gothane Doniwade B.O, Kalsavali B.O, Kharvate B.O, Kolwan Chuna B.O, Ozare B.O, Tiware B.O, Wadavali B.O"
416707,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Adivare S.O, Kasheli B.O, Kondsur Budruk B.O, Rajwadi B.O"
416709,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Sagave S.O, Katali Sagave B.O"
416712,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Devadhe S.O, Asage B.O, Beni Budruk B.O, Bhade B.O, Gavane B.O, Harche B.O, Harcheri B.O, Ibrahimpattan B.O, Khanavali B.O, Koldhe B.O, Kot B.O, Kurne B.O, Kurtade B.O, Lavgan B.O, Punas B.O, Talavade B.O, Tike B.O, Upale B.O, Veral B.O, Waghrat B.O"
416713,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Bhoo S.O, Dasur B.O, Devihasol B.O, Pendkhale B.O, Shivane Budruk B.O, Vadad Hasol B.O"
416801,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Talera S.O (Sindhudurg), Gavane B.O, Kasarde B.O, Nad B.O, Ozaram B.O, Shidavane B.O, Waghivare B.O, Wargaon B.O"
416803,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Mutat S.O
416804,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Padel S.O, Soundale B.O, Thakurwadi B.O, Waghotan B.O"
